,long,lat,comid,station
0,-74.13138889,43.96602778,22305461,USGS-01312000
1,-74.2670556,43.7565,22306657,USGS-01315000
2,-74.27027778,43.35277778,22297114,USGS-01321000
3,-75.43638889,43.26444444,22743619,USGS-01336000
4,-74.95777778,43.3661111,22741265,USGS-01343060
5,-74.9883333,43.06888889,22741581,USGS-01346000
6,-74.7794444,43.0147222,22741627,USGS-01347000
7,-74.6028611,42.87627778,22745373,USGS-01349150
8,-74.30277778,42.24916667,3247570,USGS-01349700
9,-74.34027778,42.23694444,3247486,USGS-01349705
10,-74.2769444,42.185,3247574,USGS-01349711
11,-74.3930556,42.23027778,3247574,USGS-01349810
12,-74.39,42.3083333,3247582,USGS-01349950
13,-74.4366667,42.31944444,3247466,USGS-01350000
14,-74.4516667,42.33805556,3247556,USGS-01350035
15,-74.4130556,42.37694444,3247464,USGS-01350080
16,-74.4472222,42.4061111,3247452,USGS-01350120
17,-74.4730556,42.42888889,3247552,USGS-01350140
18,-74.4622222,42.4658333,3247438,USGS-01350180
19,-74.41025,42.53763889,3246744,USGS-01350355
20,-74.26277778,42.80002778,3247040,USGS-01351500
21,-74.4519444,42.10888889,6189634,USGS-013621955
22,-74.38027778,42.11694444,6189624,USGS-01362200
23,-74.3345833,42.0797222,6189648,USGS-0136230002
24,-74.265,42.1422222,6189746,USGS-01362342
25,-74.31088889,42.10202778,6189644,USGS-01362370
26,-74.26638889,42.01944444,6189752,USGS-01362497
27,-74.2701944,42.0144722,6189754,USGS-01362500
28,-74.2930556,41.96555556,6191718,USGS-01363382
29,-74.4872222,41.86638889,6200212,USGS-01365000
30,-74.5394444,41.845,6199814,USGS-01365500
31,-74.0861111,41.8430833,6206824,USGS-01367500
32,-74.16527778,41.68613889,6200432,USGS-01371500
33,-74.0211111,40.99277778,6249408,USGS-01377500
34,-74.52888889,40.68,6250860,USGS-01379000
35,-74.3897222,40.7261111,6250836,USGS-01379500
36,-74.5397222,40.96,6249510,USGS-01379773
37,-74.4191667,40.9075,6250646,USGS-01380450
38,-74.3947222,40.89694444,6249860,USGS-01381000
39,-74.5119444,40.8122222,6250096,USGS-01381400
40,-74.4569444,40.8072222,6250748,USGS-01381500
41,-74.3472222,40.845,6249998,USGS-01381800
42,-74.3216667,40.8625,6250690,USGS-01381900
43,-74.4011111,41.0183333,6246362,USGS-01382500
44,-74.3336111,41.16027778,6246368,USGS-01383500
45,-74.2658333,41.1272222,6246312,USGS-01384500
46,-74.3116667,41.0736111,6246332,USGS-01386000
47,-74.2930556,41.04416667,932030153,USGS-01387000
48,-74.1686111,41.14027778,6245458,USGS-01387400
49,-74.16027778,41.1183333,6245602,USGS-01387420
50,-74.1161111,41.1411111,6245480,USGS-01387450
51,-74.16277778,41.09805556,6246322,USGS-01387500
52,-74.25,41.0275,6246098,USGS-01387905
53,-74.28,40.99194444,6250614,USGS-01388000
54,-74.2819444,40.9697222,6249470,USGS-01388500
55,-74.2261111,40.8847222,6250676,USGS-01389500
56,-74.2222222,40.87194444,6249966,USGS-01389550
57,-74.1283333,40.8858333,6251098,USGS-01389890
58,-74.0955556,41.0586111,6245850,USGS-01390450
59,-74.0905556,40.985,6250616,USGS-01390500
60,-74.1119444,40.99777778,6250612,USGS-01391000
61,-74.0805556,40.89027778,6250666,USGS-01391500
62,-74.2219444,40.675,6261532,USGS-01393450
